,수상등급,분야,연도,직위,소속
850,우수상,식물,2013,학생,서울과학고등학교
851,우수상,식물,2013,학생,도곡초등학교
852,우수상,식물,2013,학생,청구초등학교
853,우수상,동물,2013,학생,보성고등학교
854,우수상,동물,2013,학생,세종과학고등학교
855,우수상,화학,2013,학생,진선여자고등학교
856,우수상,화학,2013,학생,대성고등학교
857,우수상,화학,2013,학생,신길초등학교
858,우수상,물리,2013,학생,은광여자고등학교
859,우수상,물리,2013,학생,경성고등학교
860,우수상,물리,2013,학생,서울과학고등학교
861,우수상,물리,2013,학생,대신중학교
862,우수상,물리,2013,학생,상계중학교
863,우수상,물리,2013,학생,윤중초등학교
864,특상,환경,2013,학생,명덕여자중학교
865,특상,환경,2013,학생,길음초등학교
866,특상,산업 및 에너지,2013,학생,보성고등학교
867,특상,산업 및 에너지,2013,학생,상현중학교
868,특상,농림수산,2013,학생,세종과학고등학교
869,특상,지구과학,2013,학생,한성과학고등학교
870,특상,지구과학,2013,학생,광양중학교
871,특상,식물,2013,학생,상문고등학교
872,특상,식물,2013,학생,방배중학교
873,특상,동물,2013,학생,세종과학고등학교
874,특상,동물,2013,학생,휘문중학교
875,특상,화학,2013,학생,세종과학고등학교
876,특상,화학,2013,학생,신동중학교
877,특상,화학,2013,학생,오산중학교
878,특상,물리,2013,학생,서울과학고등학교
879,특상,물리,2013,학생,휘문고등학교
880,특상,물리,2013,학생,세종과학고등학교
881,특상,물리,2013,학생,한영중학교
882,특상,물리,2013,학생,당중초등학교
883,장려,화학,2012,교사,한성과학고
